# Stock LG V60 vendor module symbol CRCs (extracted from /vendor/lib/modules/*.ko)
# Format: <symbol> 0x<crc32>
# A built kernel whose symbols differ from any entry here will make the
# corresponding stock module refuse to load (module_layout / disagrees about version).
PDE_DATA 0xe686865f
afe_set_cps_config 0x4c2c7d40
afe_set_display_stream 0x57d10839
afe_set_dtmf_gen_rx_portid 0xf998882e
afe_set_island_mode_cfg 0xd31b58e6
afe_set_lpass_clk_cfg 0xcfaf7c13
afe_set_lpass_clock 0x9d3424e0
afe_set_lpass_clock_v2 0x6018faeb
afe_set_lsm_afe_port_id 0x56d2fdd2
afe_set_mclk_src_cfg 0xb8ce7c83
afe_set_pll_clk_drift 0x6ba5de1c
afe_set_routing_callback 0xb39c4ca6
afe_set_tws_channel_mode 0xc22408c2
afe_spdif_port_start 0x2e13e0ce
afe_spdif_reg_event_cfg 0x151154d3
afe_spk_prot_feed_back_cfg 0xd48ad65c
afe_tdm_port_start 0xcb4e15a8
afe_tfadsp_read 0xbcd8eb53
afe_tfadsp_write 0x91e66dcd
afe_unregister_get_events 0x8c6bf9aa
afe_unvote_lpass_core_hw 0xacb552bb
afe_vote_lpass_core_hw 0x344bb9dc
alloc_chrdev_region 0xe3ec2f2b
alloc_netdev_mqs 0x76f79570
apr_deregister 0x521d8898
apr_end_rx_rt 0x6c64676c
apr_get_modem_state 0x95d35054
apr_get_q6_state 0x0a483fec
apr_get_subsys_state 0x844e844e
apr_register 0xd8bb0ffa
apr_reset 0x72409b16
apr_send_pkt 0xd93f171c
apr_set_modem_state 0xffce7c23
apr_start_rx_rt 0xa0ddd564
arch_setup_dma_ops 0xbed35048
arch_timer_read_ool_enabled 0x128dcaaa
arm64_const_caps_ready 0x14b89635
atomic_notifier_call_chain 0xd3752c27
atomic_notifier_chain_register 0x2b9997fb
atomic_notifier_chain_unregister 0x7181db30
audio_notifier_deregister 0xc5656b4d
audio_notifier_register 0xa7fe7810
audio_pdr_deregister 0xcb0149a3
audio_pdr_register 0xf66a8089
audio_pdr_service_deregister 0x10fed888
audio_pdr_service_register 0x458155b2
avcs_core_query_timer_offset 0xc6660f4e
bcmp 0x263c3152
bitmap_print_to_pagebuf 0xf474c21c
blocking_notifier_call_chain 0x21be9390
blocking_notifier_chain_register 0xb0e291fa
blocking_notifier_chain_unregister 0xc7d83da9
bolero_check_core_votes 0xfeb504a1
bolero_clear_amic_tx_hold 0xb3b38ffa
bolero_clk_rsc_fs_gen_request 0x0e68c317
bolero_clk_rsc_request_clock 0x8c000ffd
bolero_dmic_clk_enable 0x801cffac
bolero_get_device_ptr 0xc7039355
bolero_get_version 0xb08f365a
bolero_info_create_codec_entry 0xd09a8db9
bolero_is_va_macro_registered 0x88dafa97
bolero_register_event_listener 0xae902201
bolero_register_macro 0xefdb42d6
bolero_register_wake_irq 0x1427dbc7
bolero_rsc_clk_reset 0x365726cc
bolero_runtime_resume 0x50afaa60
bolero_runtime_suspend 0xca7a7e2d
bolero_set_port_map 0x84347150
bolero_tx_clk_switch 0x2eb63ce7
bolero_tx_mclk_enable 0x1f4c7411
bolero_unregister_macro 0xdc154561
bolero_wsa_pa_on 0xd024e2c0
bus_register 0xcbc8644b
bus_unregister 0x64092afb
cal_utils_create_cal_types 0x3a967b6b
cal_utils_destroy_cal_types 0xb5e55722
cal_utils_is_cal_stale 0x32c58113
cal_utils_match_buf_num 0x537410b0
cal_utils_set_cal 0x17f065ea
cancel_delayed_work 0x672bf342
cancel_delayed_work_sync 0xec306b1c
cancel_work_sync 0x72394689
capable 0xc6cbbc89
cdev_add 0x70de6003
cdev_del 0xf807c723
cdev_init 0x1103e456
cfg80211_calculate_bitrate 0x15a37cf3
cfg80211_ch_switch_notify 0x094d2946
cfg80211_chandef_create 0x18b53545
cfg80211_connect_done 0x303ee831
cfg80211_del_sta_sinfo 0x1afe4aee
cfg80211_disconnected 0x8193e6b2
cfg80211_external_auth_request 0x7ac8c58c
cfg80211_ft_event 0xb4a3cc34
cfg80211_get_bss 0xb4510fb6
cfg80211_gtk_rekey_notify 0xa266aa7a
cfg80211_inform_bss_frame_data 0xafacea14
cfg80211_mgmt_tx_status 0x9e441c62
cfg80211_michael_mic_failure 0xeb55f151
cfg80211_new_sta 0x21df7f7d
cfg80211_pmksa_candidate_notify 0x078ac2b0
cfg80211_put_bss 0x78a469ef
cfg80211_ready_on_channel 0xc866de0a
cfg80211_remain_on_channel_expired 0xd12a089a
cfg80211_roamed 0x15c4165e
cfg80211_rx_mgmt 0x552ea311
cfg80211_rx_unprot_mlme_mgmt 0x355de24c
cfg80211_scan_done 0x1d08906d
cfg80211_sched_scan_results 0xb3be5450
cfg80211_stop_iface 0x36a2395f
cfg80211_tdls_oper_request 0x202807c8
cfg80211_unlink_bss 0x2ab71ecc
cfg80211_update_owe_info_event 0x811858a9
cfg80211_vendor_cmd_reply 0xe491a87f
class_destroy 0xb0ac08e8
cld80211_get_genl_family 0x2daa5077
clk_disable 0xb6e6d99d
clk_enable 0x815588a6
clk_get 0xdaf6c10d
clk_hw_get_num_parents 0x93652183
clk_prepare 0x7c9a7371
clk_unprepare 0xb077e70a
cnss_athdiag_read 0x55a575af
cnss_athdiag_write 0xdbbfa83a
cnss_auto_resume 0xa10135af
cnss_auto_suspend 0x040e2bbd
cnss_device_crashed 0x40e9b997
cnss_force_collect_rddm 0xb2c338f9
cnss_get_fw_files_for_target 0xef1b3754
cnss_get_msi_address 0x3c23379c
cnss_get_msi_irq 0xde9aac7b
cnss_get_platform_cap 0x3d16b661
cnss_get_soc_info 0x05a45de6
cnss_get_user_msi_assignment 0x1c4c4c29
cnss_get_virt_ramdump_mem 0xc985f5eb
cnss_idle_restart 0x02ded5f9
cnss_idle_shutdown 0xe1598993
cnss_lock_pm_sem 0x3c1c9c67
cnss_pci_allow_l1 0xdc818ac2
cnss_pci_force_wake_release 0x5584051a
cnss_pci_force_wake_request 0x99011529
cnss_pci_force_wake_request_sync 0xd08688e7
cnss_pci_get_reg_dump 0x71fdc815
cnss_pci_is_device_awake 0x6c606b38
cnss_pci_is_device_down 0x600493dd
cnss_pci_is_drv_connected 0x4d37112c
cnss_pci_link_down 0x86f10a66
cnss_pci_lock_reg_window 0x7ed5c492
cnss_pci_prevent_l1 0xebdbfa7c
cnss_pci_unlock_reg_window 0x0ae6f568
cnss_qmi_send 0x82829b29
cnss_qmi_send_get 0xc837a2d6
cnss_qmi_send_put 0x414b32e8
cnss_release_pm_sem 0x60ebbcf9
cnss_remove_pm_qos 0xb5a55738
cnss_request_bus_bandwidth 0x1227874d
cnss_request_pm_qos 0xf9483a93
cnss_schedule_recovery 0xda6d0400
cnss_self_recovery 0x6e3adee2
cnss_set_fw_log_mode 0x566a02b1
cnss_smmu_get_domain 0x274f945b
cnss_smmu_map 0xec4149a4
cnss_smmu_unmap 0xf8f13ca4
cnss_utils_get_wlan_derived_mac_address 0x35ea3b55
cnss_utils_get_wlan_mac_address 0x7946ceb7
cnss_utils_get_wlan_unsafe_channel 0xd5e22188
cnss_utils_increment_driver_load_cnt 0x6362009d
cnss_utils_set_wlan_unsafe_channel 0x6a7510af
cnss_utils_wlan_get_dfs_nol 0x08957884
cnss_utils_wlan_set_dfs_nol 0x6d01963f
cnss_wlan_disable 0xeefae3cd
cnss_wlan_enable 0x2f99dc38
cnss_wlan_pm_control 0xa1f17fc0
cnss_wlan_register_driver 0x31e1a102
cnss_wlan_unregister_driver 0x30a31304
complete 0x29361773
complete_all 0xfd94814e
complete_and_exit 0x8133c67d
component_add 0x8bb1c868
component_bind_all 0x945b2b4f
component_del 0x5c2b76c0
component_master_add_with_match 0xfdb33556
component_master_del 0x1562ff2d
component_match_add_release 0x949a1754
component_unbind_all 0xe72e69d7
consume_skb 0x986a2afd
core_ctl_set_boost 0xba4235f0
core_get_license_status 0x20d58b5c
core_set_license 0x2bfec7fc
cpu_bit_bitmap 0xcb6fcf78
cpu_hwcap_keys 0x5e2d7875
cpu_hwcaps 0x5c1c3eb4
cpu_number 0x7a2af7b4
cpu_topology 0x3921f0e9
cpufreq_quick_get_max 0x33f0768c
cpufreq_register_notifier 0x65d9e877
cpufreq_unregister_notifier 0x6214aef2
cpufreq_update_policy 0xc37f9c6e
cpumask_next 0xa1e0307f
cpus_read_lock 0xa04f945a
cpus_read_unlock 0x18fb2caf
crc32_le 0x69dd3b5b
create_ramdump_device 0x636ac168
crypto_aead_setauthsize 0xdc2ac036
crypto_aead_setkey 0x0c4a9008
crypto_alloc_aead 0x471e5d6c
crypto_alloc_base 0xae00a2a3
crypto_alloc_shash 0x85dd0e2b
crypto_alloc_skcipher 0x242cdd45
crypto_destroy_tfm 0xb6c3668e
crypto_shash_final 0x6c6c7ef5
crypto_shash_setkey 0xe90ffd89
crypto_shash_update 0x339c1b59
csum_ipv6_magic 0x4d65cbd5
csum_tcpudp_nofold 0xd25bc5d4
del_timer 0xaa4008af
del_timer_sync 0xf15e728e
delayed_work_timer_fn 0x253af43d
deregister_cld_cmd_cb 0x1a4d338d
destroy_ramdump_device 0x69172e7f
destroy_workqueue 0x8c03d20c
dev_alloc_name 0x987bf327
dev_get_regmap 0x5437f72e
dev_printk 0x12b3fc06
dev_set_name 0xdfcec320
device_create 0xe35fbe6a
device_create_bin_file 0x7fea25d2
device_create_file 0x7fff4722
device_destroy 0xdf037142
device_for_each_child 0x01f54cc4
device_init_wakeup 0x8035b15f
device_register 0x84cdc197
device_remove_bin_file 0x39cafe15
device_remove_file 0x1782d434
device_unregister 0x7476e0f9
devm_clk_get 0x8a6498d2
devm_clk_register 0x98de11c2
devm_extcon_dev_allocate 0x64a55178
devm_extcon_dev_register 0xeb46ba38
devm_extcon_dev_unregister 0xfe9e2e7d
devm_gpio_free 0x8afb00e4
devm_gpio_request_one 0xd023bb7e
devm_ioremap 0xea6ae401
devm_ioremap_nocache 0x06f5f265
devm_iounmap 0x6430887e
devm_kfree 0xf613faac
devm_kmalloc 0x65a0ab6d
devm_pinctrl_get 0x2c54315c
devm_pinctrl_put 0x2387a026
devm_pinctrl_register 0x02b3fe10
devm_regmap_add_irq_chip 0xa81e1fd5
devm_regmap_del_irq_chip 0x515591ec
devm_regulator_bulk_get 0xe60583da
devm_regulator_get 0x7d53adda
devm_request_threaded_irq 0xb363e166
devm_snd_soc_register_card 0x7a2bef7b
digital_cdc_rsc_mgr_hw_vote_disable 0xc1346cc1
digital_cdc_rsc_mgr_hw_vote_enable 0xbcb15f8a
digital_cdc_rsc_mgr_hw_vote_reset 0x05850611
disable_irq 0x3ce4ca6f
disable_irq_nosync 0x27bbf221
dma_alloc_from_dev_coherent 0x47bcba6f
dma_buf_attach 0x81f654c7
dma_buf_begin_cpu_access 0x97abacd3
dma_buf_detach 0xc58ec93f
dma_buf_end_cpu_access 0x0fe31b67
dma_buf_fd 0x45b27a20
dma_buf_get 0x6ff1609c
dma_buf_get_flags 0x703d950f
dma_buf_map_attachment 0x3aba8043
dma_buf_put 0x245dbe9e
dma_buf_unmap_attachment 0x229a3bdd
dma_buf_vmap 0x999aef68
dma_buf_vunmap 0xb242f340
dma_common_get_sgtable 0xc7a94f9f
dma_common_mmap 0xf9fef931
dma_release_from_dev_coherent 0x1318284f
do_exit 0x952664c5
do_ramdump 0x6af6e993
drain_workqueue 0xa38602cd
